id,name,tax_payer_company/id,tax_payer_partner/id,withholding_calc_id/id,withholding_id/id,withholding_cate_product/id
R1,Contribuyente / Contribuyente,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w1,withholding_odoo.1,
R2,Contribuyente / Contribuyente,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w2,withholding_odoo.1,
R3,Sociedad / Contribuyente,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w3,withholding_odoo.1,
R4,Persona Naturala Obli / Contribuyente,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w3,withholding_odoo.1,
R5,Persona Naturala  / Sociedad,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w3,withholding_odoo.1,
R6,Persona Naturala  / Persona Natural Obli,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w3,withholding_odoo.1,
R7,Sociedad / Contribuyente,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_04,withholding_odoo.w4,withholding_odoo.1,
R8,Persona Natural Obli / Contribuyente,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_04,withholding_odoo.w4,withholding_odoo.1,
R9,Persona Natural / Contribuyente,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w4,withholding_odoo.1,
R10,Persona Natural / Sociedad,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w4,withholding_odoo.1,
R11,Persona Natural / Persona Natural Oblig,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w4,withholding_odoo.1,
R12,Persona Natural / Contribuyente,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_04,withholding_odoo.w5,withholding_odoo.1,
R13,Persona Natural / Sociedad,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_02,withholding_odoo.w5,withholding_odoo.1,
R14,Persona Natural / Persona Natural Obli,l10n_ec_par.tax_id_type_01,l10n_ec_par.tax_id_type_03,withholding_odoo.w5,withholding_odoo.1,
R15,Contribuyente / Contribuyente,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w6,withholding_odoo.2,
R16,Contribuyente / Contribuyente,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w7,withholding_odoo.2,
R17,Contribuyente / Sociedad,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w8,withholding_odoo.2,
R18,Contribuyente / Persona Natural Obli ,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w8,withholding_odoo.2,
R19,Sociedad / Persona Natural,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w8,withholding_odoo.2,
R20,Persona Natural Obli / Persona Natural,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w8,withholding_odoo.2,
R21,Contribuyente / Sociedad,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w9,withholding_odoo.2,
R22,Contribuyente / Persona Natural Obli,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w9,withholding_odoo.2,
R23,Contribuyente / Persona Natural ,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w9,withholding_odoo.2,
R24,Sociedad / Persona Natural,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w9,withholding_odoo.2,
R25,Persona Natural Obli / Persona Natural,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w9,withholding_odoo.2,
R26,Contribuyente / Persona Natural,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w10,withholding_odoo.2,
R27,Sociedad / Persona Natural,l10n_ec_par.tax_id_type_02,l10n_ec_par.tax_id_type_01,withholding_odoo.w10,withholding_odoo.2,
R28,Persona Natural Obli / Persona Natural,l10n_ec_par.tax_id_type_03,l10n_ec_par.tax_id_type_01,withholding_odoo.w10,withholding_odoo.2,
R29,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_01,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R30,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_02,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R31,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_03,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
R32,RETENCION 10% Renta,l10n_ec_par.tax_id_type_04,l10n_ec_par.tax_id_type_04,withholding_odoo.w11,withholding_odoo.4,withholding_odoo.category_25
